"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Employment size of establishments code (EMPSZFE_LABEL)","Year (YEAR)","Number of establishments (ESTAB)"
"Delaware County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Delaware County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Delaware County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","3"
"Dutchess County, New York","31-33","Manufacturing","All establishments","2017","186"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","186"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","125"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","14"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","13"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","15"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","12"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Erie County, New York","31-33","Manufacturing","All establishments","2017","963"
"Erie County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","953"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","402"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","117"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","124"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","136"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","78"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","58"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","38"
"Erie County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","10"
"Essex County, New York","31-33","Manufacturing","All establishments","2017","30"
"Essex County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","30"
"Essex County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","19"
"Essex County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","6"
"Franklin County, New York","31-33","Manufacturing","All establishments","2017","26"
"Franklin County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","24"
"Franklin County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","15"
"Franklin County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","4"
"Fulton County, New York","31-33","Manufacturing","All establishments","2017","71"
"Fulton County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","71"
"Fulton County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","37"
"Fulton County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","5"
"Fulton County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","9"
"Fulton County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","11"
"Fulton County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","3"
"Fulton County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","5"
"Genesee County, New York","31-33","Manufacturing","All establishments","2017","84"
"Genesee County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","82"
"Genesee County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","38"
"Genesee County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","4"
"Genesee County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","9"
"Genesee County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","16"
"Genesee County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","8"
"Genesee County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Genesee County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Greene County, New York","31-33","Manufacturing","All establishments","2017","33"
"Greene County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","30"
"Greene County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","16"
"Greene County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","6"
"Greene County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","3"
"Greene County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","3"
"Herkimer County, New York","31-33","Manufacturing","All establishments","2017","60"
"Herkimer County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","60"
"Herkimer County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","23"
"Herkimer County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","7"
"Herkimer County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","6"
"Herkimer County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","11"
"Herkimer County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","7"
"Herkimer County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","3"
"Herkimer County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Jefferson County, New York","31-33","Manufacturing","All establishments","2017","68"
"Jefferson County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","66"
"Jefferson County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","31"
"Jefferson County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","8"
"Jefferson County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","7"
"Jefferson County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","12"
"Jefferson County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Kings County, New York","31-33","Manufacturing","All establishments","2017","1,716"
"Kings County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","1,708"
"Kings County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","1,131"
"Kings County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","197"
"Kings County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","183"
"Kings County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","133"
"Kings County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","40"
"Kings County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","21"
"Kings County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Kings County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","8"
"Lewis County, New York","31-33","Manufacturing","All establishments","2017","21"
"Lewis County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","21"
"Lewis County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","8"
"Lewis County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","3"
"Lewis County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Livingston County, New York","31-33","Manufacturing","All establishments","2017","61"
"Livingston County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","60"
"Livingston County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","24"
"Livingston County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","7"
"Livingston County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","8"
"Livingston County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","9"
"Livingston County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","7"
"Livingston County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Madison County, New York","31-33","Manufacturing","All establishments","2017","56"
"Madison County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","56"
"Madison County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","25"
"Madison County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","5"
"Madison County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","6"
"Madison County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","9"
"Madison County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","3"
"Madison County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Madison County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","4"
"Monroe County, New York","31-33","Manufacturing","All establishments","2017","848"
"Monroe County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","835"
"Monroe County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","343"
"Monroe County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","98"
"Monroe County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","113"
"Monroe County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","135"
"Monroe County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","77"
"Monroe County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","43"
"Monroe County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","26"
"Monroe County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","13"
"Montgomery County, New York","31-33","Manufacturing","All establishments","2017","57"
"Montgomery County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","56"
"Montgomery County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","18"
